"Quelle","Pole Studio","PLZ","Stadt","Land","Adresse","Telefonnummer","E-Mail-Adresse","Webseite","Facebook","Instagram","Art","Angebot","Beschreibung","Straße","Eversports ohne Einteilung","ID","Owner","Created Date","Updated Date","Bildergalerie","Richtigkeit der Angaben","Pole Studios (Pole Studio)","Online Studios (Pole Studio)","Inaktiv","Löschvermerk"
"https://www.eversports.de/sw/seemannsbraut-poledance","Seemannsbraut Poledance Flensburg","24941","Flensburg","Deutschland","{""subdivisions"":[{""code"":""SH"",""name"":""Schleswig-Holstein"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""FL"",""name"":""Flensburg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Flensburg"",""location"":{""latitude"":54.75705,""longitude"":9.400269999999999},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""27-29"",""name"":""Ochsenweg"",""apt"":""""},""formatted"":""Ochsenweg 27-29, 24941 Flensburg, Deutschland"",""country"":""DE"",""postalCode"":""24941"",""subdivision"":""SH""}","15163300769","seemannsbraut-poledance@web.de","https://www.seemannsbraut-poledance.de/","https://www.facebook.com/SeemannsbrautPoledance","https://www.instagram.com/seemannsbraut_poledance/?hl=de","Pole Studio",,,"Ochsenweg 27-29",,"01df35bd-209a-4520-a7bc-d109b9aaf2f6","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:48Z,,,"/polestudio/seemannsbraut-poledance-flensburg","/onlinestudio/seemannsbraut-poledance-flensburg",,
"https://www.eversports.de/sw/tsg-blau-gold-giessen-ev","TSG Blau Gold Ballett- und Pole-dance- Studio","35390","Gießen","Deutschland","{""subdivisions"":[{""code"":""HE"",""name"":""Hessen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""GI"",""name"":""Gießen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Gießen"",""name"":""Gießen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Gießen"",""location"":{""latitude"":50.5919176,""longitude"":8.6789346},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""13"",""name"":""Marburger Straße"",""apt"":""""},""formatted"":""Marburger Straße 13, 35390 Gießen, Deutschland"",""country"":""DE"",""postalCode"":""35390"",""subdivision"":""HE""}","0491 621606468","tanz-giessen@gmx.de","https://www.tsg-giessen.de/angebote/tanz/poledance","https://www.facebook.com/poledancegiessen.de","https://www.instagram.com/tsg_blaugoldgiessen.ev/?hl=de","Pole Studio",,,"Marburger Straße 13",,"0233997c-a277-4179-990a-347e1cea347e","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:49Z,,,"/polestudio/tsg-blau-gold-ballett--und-pole-dance--studio","/onlinestudio/tsg-blau-gold-ballett--und-pole-dance--studio",,
,"Pole Stars Osnabrück","49080","Osnabrück","Deutschland","{""subdivisions"":[{""code"":""NDS"",""name"":""Niedersachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Osnabrück"",""name"":""Osnabrück"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Osnabrück"",""location"":{""latitude"":52.26705459999999,""longitude"":8.0497298},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""65"",""name"":""Johannistorwall"",""apt"":""""},""formatted"":""Johannistorwall 65, 49080 Osnabrück, Deutschland"",""country"":""DE"",""postalCode"":""49080""}","01573 1810262","info@polestars-osnabrueck.de","http://www.polestars-osnabrueck.de/","https://www.facebook.com/PoleStarsOsnabrueck.de/","https://www.instagram.com/pole_stars_osnabrueck/?hl=de","Pole Studio",,,"Johannistorwall 65",,"04673b9d-d8b2-4caf-8632-d349eab2cd4e","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:48Z,,,"/polestudio/pole-stars-osnabr%C3%BCck","/onlinestudio/pole-stars-osnabr%C3%BCck",,
,"Aerial Art Studio","83026","Rosenheim","Deutschland","{""subdivisions"":[{""code"":""BY"",""name"":""Bayern"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Oberbayern"",""name"":""Oberbayern"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""RO"",""name"":""Rosenheim"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Rosenheim"",""location"":{""latitude"":47.8407765,""longitude"":12.1087413},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""27"",""name"":""Am Hirschbichl"",""apt"":""""},""formatted"":""Am Hirschbichl 27, 83026 Rosenheim, Deutschland"",""country"":""DE"",""postalCode"":""83026"",""subdivision"":""BY""}","0179 6656882","info@aerial-art-studio.de","https://aerial-art-studio.de/","https://www.facebook.com/profile.php?id=100083412367018","https://www.instagram.com/aerialart.studio/","Pole Studio",,,"Am Hirschbichl 27",,"056962ab-12a8-435a-8938-de044383b69f","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:46Z,,,"/polestudio/aerial-art-studio","/onlinestudio/aerial-art-studio",,
"https://www.eversports.de/sw/koerpernah","Körpernah","45711","Datteln","Deutschland","{""city"":""Datteln"",""location"":{""latitude"":51.6791672,""longitude"":7.3286243},""streetAddress"":{""number"":""130"",""name"":""Ahsener Straße"",""apt"":"""",""formattedAddressLine"":""Ahsener Str. 130""},""formatted"":""Ahsener Str. 130, 45711 Datteln, Deutschland"",""country"":""DE"",""postalCode"":""45711""}","02363 5591479","info@koerper-nah.de","http://https://www.koerper-nah.de/","https://www.facebook.com/koerpernah/","https://www.instagram.com/koerpernahdatteln/","Pole Studio",,,"Ahsener Str. 130",,"056f1cb8-84ad-4755-83cf-81229081d0d0","c3ff4afb-ca8a-4fa1-a27e-863253c60e91",2023-05-03T10:58:08Z,2024-02-04T18:02:33Z,,true,"/polestudio/k%C3%B6rpernah","/onlinestudio/k%C3%B6rpernah",,
,"Dance Moves Wolfenbüttel","38304","Wolfenbüttel","Deutschland","{""subdivisions"":[{""code"":""NDS"",""name"":""Niedersachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Wolfenbüttel"",""name"":""Wolfenbüttel"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Wolfenbüttel"",""location"":{""latitude"":52.1636126,""longitude"":10.5270529},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""25"",""name"":""Jägerstraße"",""apt"":""""},""formatted"":""Jägerstraße 25, 38304 Wolfenbüttel, Deutschland"",""country"":""DE"",""postalCode"":""38304""}","0178 6150882","info@dancemoves.at","https://dancemoves.at/","https://www.facebook.com/profile.php?id=100083445282723","https://www.instagram.com/dancemoves.wolfenbuettel/?hl=de","Pole Studio",,,"Jägerstraße 25",,"05a1ac95-9628-424c-a874-983b2186b4e5","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:46Z,,,"/polestudio/dance-moves-wolfenb%C3%BCttel","/onlinestudio/dance-moves-wolfenb%C3%BCttel",,
,"MyPole","28857","Syke","Deutschland","{""subdivisions"":[{""code"":""NDS"",""name"":""Niedersachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Syke"",""name"":""Syke"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Syke"",""location"":{""latitude"":52.9118003,""longitude"":8.8251371},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""1"",""name"":""Schloßweide"",""apt"":"""",""formattedAddressLine"":""Schloßweide 1""},""formatted"":""Schloßweide 1, 28857 Syke, Deutschland"",""country"":""DE"",""postalCode"":""28857"",""subdivision"":""NDS""}","04242-5979138","info@mypole.de","http://www.mypole.de/","https://www.facebook.com/mypole.de/?locale=de_DE","https://www.instagram.com/nordlicht_mypole/?hl=de","Pole Studio",,,"Schloßweide 1",,"05a8e19e-4ce3-436b-a69c-0b93bf732891","284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-04-08T11:34:34Z,2024-02-04T18:00:47Z,,,"/polestudio/mypole","/onlinestudio/mypole",,
,"Tanzstudio Michel","55252","Wiesbaden","Deutschland","{""subdivisions"":[{""code"":""HE"",""name"":""Hessen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""DA"",""name"":""Darmstadt"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""WI"",""name"":""Wiesbaden"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Wiesbaden"",""location"":{""latitude"":50.0174061,""longitude"":8.291410599999997},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""50"",""name"":""Schmalweg"",""apt"":""""},""formatted"":""Schmalweg 50, 55252 Wiesbaden, Deutschland"",""country"":""DE"",""postalCode"":""55252"",""subdivision"":""HE""}","01578 7454656","t.michel.1@gmx.de","https://www.tanzstudio-michel.de/","https://www.facebook.com/profile.php?id=100064068363917","https://www.instagram.com/tanzstudio_michel/","Pole Studio",,,"Schmalweg 50","https://www.eversports.de/s/tanzstudio-michel","08b0b940-2710-4019-b40b-754889a007f5","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:49Z,,,"/polestudio/tanzstudio-michel","/onlinestudio/tanzstudio-michel",,
,"Pole Sensation","74072","Heilbronn","Deutschland","{""subdivisions"":[{""code"":""BW"",""name"":""Baden-Württemberg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Süd"",""name"":""Stuttgart"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Heilbronn"",""name"":""Heilbronn"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Heilbronn"",""location"":{""latitude"":49.13475769999999,""longitude"":9.2183426},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""49"",""name"":""Südstraße"",""apt"":""""},""formatted"":""Südstraße 49, 74072 Heilbronn, Deutschland"",""country"":""DE"",""postalCode"":""74072"",""subdivision"":""BW""}","0172 7558233","info@polesensation.de","https://polesensation.net/","https://www.facebook.com/PoleDanceKurseHeilbronn/","https://www.instagram.com/polesensation_hn/","Pole Studio",,,"Südstraße 49","https://www.eversports.de/s/polesensation","0a71f315-9e7e-4013-97f7-1ea27caa62eb","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:48Z,,,"/polestudio/pole-sensation","/onlinestudio/pole-sensation",,
,"Poledance Rostock","18055","Rostock","Deutschland","{""subdivisions"":[{""code"":""MV"",""name"":""Mecklenburg-Vorpommern"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Rostock"",""name"":""Rostock"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Rostock"",""location"":{""latitude"":54.0851372,""longitude"":12.1407789},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""18"",""name"":""Richard-Wagner-Straße"",""apt"":""""},""formatted"":""Richard-Wagner-Straße 18, 18055 Rostock, Deutschland"",""country"":""DE"",""postalCode"":""18055"",""subdivision"":""MV""}","0176 31475255","poledance-rostock@gmx.de","https://www.poledance-rostock.de/","https://www.facebook.com/PoledanceRostockde","https://www.instagram.com/poledance_rostock.de/?hl=de","Pole Studio",,,"Richard-Wagner-Straße 18",,"0aaa5dc4-b29a-4029-a3db-3041826713ec","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:48Z,,,"/polestudio/poledance-rostock","/onlinestudio/poledance-rostock",,
