PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Created Date,Updated Date
Les.Pole,"['Bellingerstraße 12 ', ' 36043 Fulda']",36043,Fulda,Bellingerstraße 12,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Poledance, Chairdance, Exotic, Floorwork...... ein Leben voller Tanz und Bewegung ist meine Passion, die ich mit dir teilen möchte!Ob mit oder ohne Pole, findest du hier ein vielseitiges Online-Angebot aus Kursen, Workshops und Privatstunden.Egal welches Alter, Geschlecht, Aussehen oder Fitnesslevel du mitbringst, bei mir ist jeder herzlich Willkommen und ich freue mich, mit dir eine neue Reise zu beginnen oder dein bereits vorhandenes Können zu vertiefen und zu erweitern.", info@les-pole.de,https://www.instagram.com/les.pole,+49 15730850054,https://www.eversports.de/s/lespole,"['Poledance', 'Power Pole', 'Yoga', 'Akrobatik', 'Poledance', 'Poledance', 'Polesport', 'Power Pole', 'Poledance', '13 Rezensionen', 'Yoga', 'Poledance', 'Akrobatik', 'Power Pole', 'Stretching', 'Floorwork', 'Lapdance', 'Chairdance', 'Aerial Akrobatik', 'Polesport', 'Coaching', 'Training', 'Workout', 'Dehnung/Flexibilität', 'Exotic', 'Couch Flow']",1 Angebot für Neukund:innen,2024-02-17 18:24:20,2024-02-17 18:24:20
Ramonas Tanzschmiede,"['Ückendorfer Straße 121 ', ' 45886 Gelsenkirchen']",45886,Gelsenkirchen,Ückendorfer Straße 121,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Herzlich Willkommen bei Ramonas Tanzschmiede!Seit 2018 finden Sie uns in Gelsenkirchen Ückendorf, mit Tanzkursen ab 2 Jahren, bis hin ins hohe Erwachsenenalter.Unser Angebot umfasst verschiedenste Tanzstile:Hier finden Sie alles, angefangen bei Eltern- Kind Tanzen, über teilbegleitetes Tanzen, bis hin zu kreativem Kindertanz, Hip Hop, Jazzdance, Contemporary, Dancehall, Twerk, Streetdance, Showdance, Heels, Chair Dance, Pole Dance und Ballett. Werfen Sie hierzu einen Blick in unseren Kursplan und die jeweiligen Kursbeschreibungen!Zusätzlich bieten wir die Möglichkeiten, Junggesellinnenabschiede (JGA), Kindergeburtstage und Hochzeitstanzstunden in unseren Räumlichkeiten zu buchen.Gerne kommen wir auch zu Ihrer Veranstaltung und gestalten dort ein buntes Programm für Sie!Unsere Auftrittserfahrungen reichen von kleinen Gemeindefesten, über Großveranstaltungen, wie den Duisburger Tanztagen, bis hin zu professionellen Theatershows und Tourneen.", kontakt@ramonas-tanzschmiede.de,http://www.ramonas-tanzschmiede.de,+49 209 - 366 556 28,https://www.eversports.de/s/ramonas-tanzschmiede,"['Tanzen', 'Zumba', 'Tanzen', 'Hip Hop', 'Tanzen', 'Kindergeburtstag', 'Tanzen', 'Hip Hop', 'Poledance', 'Tanzen', '11 Rezensionen', 'Fitness', 'Gymnastik', 'Tanzen', 'Zumba', 'Hip Hop', 'Poledance', 'Salsa', 'Ballett', 'Bootcamp', 'Kindergeburtstag', 'Floorwork', 'Lapdance', 'Chairdance', 'Kindersport', 'Eltern und Kind', 'twerXout®', 'Kindertanz', 'Moderner Tanz', 'Streetdance', 'Bachata', 'Heels', 'Online Klasse', 'Bachata Dominicana', 'Strong Nation®', 'Kindertraining', 'Tanz-Fitness', 'Contemporary Dance', 'Twerken', 'Gr. Kindergeburtstag', 'Dancehall', 'Line Dance', 'Körperarbeit', 'Kindergeburtstag HipHop', 'Kinderballett', 'Ganzkörpertraining', 'Jazztanz', 'Contemporary Dance', 'Bühnentanz', 'Dance Fitness', 'Hochzeitstanz', 'Kraft', 'Ganzkörpertraining', 'Aktivitäten für Kinder', 'Aktivitäten für Erwachsene', 'Aktivitäten für Kinder und Erwachsene', 'Arbeit', 'Female Dance']",Zum Stundenplan,2024-02-17 18:24:34,2024-02-17 18:24:34
Polefamily-Koblenz,"['Löhrstraße 48 ', ' 56068 Koblenz']",56068,Koblenz,Löhrstraße 48,"['Übersicht', 'Klassen', 'Preise', 'Team']","Das kleine familiäre Poledance und Kurs Studio mitten in Koblenz bietet alles, was dein Herz begehrt. Von klassischen Poledance Stunden zu anspruchsvollen Workouts sowie entspannten Aerial Yoga Kursen. Das Besondere des Studios Polefamily-Koblenz ist, dass es eine sehr begrenzte Teilnehmerzahl bei den Kursen bietet. So kann während des Trainings auf jeden einzelnen Teilnehmer eingegangen werden.", Info@polefamily-koblenz.de,http://www.Polefamily-Koblenz.de,+4917662680953,https://www.eversports.de/s/polefamily-koblenz,"['Poledance', 'Flexibles Training', 'Tanzen', 'Aerial Yoga', 'Poledance', 'Poledance', 'Flexibles Training', 'Aerial Yoga', 'Tanzen', '20 Rezensionen', 'Tanzen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', 'Power Pole', 'Stretching', 'Aerial Dance', 'Aerial Akrobatik']",1 Angebot für Neukund:innen,2024-02-17 18:24:41,2024-02-17 18:24:41
Poledance 4 you,"['Naugarder Straße 14', ' 10409 Berlin']",10409,Berlin,Naugarder Straße 14,['Übersicht'],"Das Motto des Berliner Pole Dance Studios lautet ""Anders tanzen als der Rest der Welt."" Pole Dance ist eine körperbewusste und abwechslungsreiche Art des Tanzes. und der neueste Trend, der Frauenherzen höher schlagen lässt. Es ist Ästhetik pur, du verbessert gleichzeitig deine sportliche Fitness und gehst nach jedem Training mit einem positiven Lebensgefühl nach Hause.
Auch Hollywood-Stars wie Britney Spears, Angelina Jolie und Madonna haben Pole Dance für sich entdeckt. 
Es gibt unterschiedliche Levels mit unterschiedlichen Schwerpunkten, die professionell geschult werden.", info@poledance4you.de,https://www.poledance4you.de/,,https://www.eversports.de/s/poledance-4-you,"['(Noch keine Bewertungen)', 'Poledance']",,2024-02-17 18:24:44,2024-02-17 18:24:44
Star Poledance,"['Rudolf-Diesel-Straße 6 ', ' 53919 Weilerswist']",53919,Weilerswist,Rudolf-Diesel-Straße 6,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Entdecke Poledance als deine neue Leidenschaft!In kleinen Gruppen lernst du den den besten Sport der Welt und verbesserst so nicht nur deine Fitness, sondern auch dein Verhältnis zum eigenen Körper. Und das mit viel Spaß und Abwechslung!Das Studio in Weilerswist ist sowohl mit dem Auto als auch mit der Bahn schnell erreichbar aus Köln, dem Rhein-Erft-Kreis sowie der Eifel.Wähle aus einer Vielzahl an Kursen, die sich perfekt ergänzen.Tanz' dich fit - Wecke den Star in dir!", tanja@star-poledance.de,http://www.star-poledance.de,+49 176 456 51 486,https://www.eversports.de/s/star-poledance,"['Poledance', 'Poledance', 'Fitness', 'Poledance', 'Ballett', 'Poledance', 'Poledance', '18 Rezensionen', 'Fitness', 'Poledance', 'Ballett', 'Akrobatik', 'Handstand', 'Floorwork', 'Chairdance', 'Aerial Akrobatik', 'Polesport', 'Mobility', 'Core', 'Rückengymnastik', 'Selbstliebe', 'Frauenenergie', 'Online Klasse', 'Body Toning']",Zum Stundenplan,2024-02-17 18:24:52,2024-02-17 18:24:52
Aerial Circus,"['Zschochersche Straße 79B ', ' 04229 Leipzig']",04229,Leipzig,Zschochersche Straße 79B,"['Übersicht', 'Klassen', 'Preise', 'Team']","Hallo,und schön, dass Du auf unserer Seite gelandet bist! Seit 2015 gibt es den Aerial Circus nun schon, einen Ort, an dem Begegnung stattfindet, getanzt wird und du an verschiedensten Luftrequisiten über dich hinaus wachsen kannst. Wir haben viele spannende Kurse, regelmäßige Auftritte, tolle Trainer_Innen und natürlich Teilnehmende. In unserem 55m² Studio kannst du dich an sechs Poles, vier Vertikaltüchern (Aerial Silks) und vier Luftringen (Aerial Hoops) austoben.Für schwierigere Elemente stehen Crash-Matten bereit. Zum Kraftaufbau stellen wir ein Kletterseil, Gymnastikbälle und eine Sprossenwand zur Verfügung. Wer sich in Flexibilität steigern möchte findet ebenfalls Matten, Yogawheels, -blöcke und -gurte, sowie Faszienrollen und -bälle.Wir freuen uns sehr über neue und alte Gesichter in unserem wunderschönen Studio! Ganz herzliche Grüße,Lena und das gesamte Aerial Circus Team (mit Sina, Paula, Max, Josi, Anne, Anna und Mareen).", aerial-circus@mail.de,http://www.aerial-circus.de,+49 15774280801,https://www.eversports.de/s/aerial-circus,"['Yoga', 'Poledance', 'Aerial Dance', 'Poledance', 'Aerial Silk', 'Luftartistik', 'Yoga', 'Poledance', 'Yoga', 'Aerial Silk', '5 Rezensionen', 'Yoga', 'Poledance', 'Krafttraining', 'Akrobatik', 'Power Pole', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Hatha Yoga', 'Ashtanga Yoga', 'Tanz', 'Mobility', 'Heels', 'Dehnung/Flexibilität', 'Acro Flow', 'Fitness und Yoga', 'Exotic', 'Yoga Flow', 'Ganzkörpertraining', 'Luftartistik', 'Zirkus', 'Stretch Flow', 'Vertikaltuch', 'Luftring', 'Aktivitäten für Kinder']",Zum Stundenplan,2024-02-17 18:25:01,2024-02-17 18:25:01
T-Tanzstück Braunschweig,"['Berliner Straße 52 ', ' 38104 Braunschweig']",38104,Braunschweig,Berliner Straße 52,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Preise', 'Team']","T-Tanzstück in BraunschweigT-Tanzstück steht für innovative Kurskonzepte mit Qualität auf höchstem Niveau. Wir verstehen uns als die Spezialisten zum Thema Luftakrobatik und Tanz.Unsere Trainingsmodelle richten sich an Anfänger, Fortgeschrittene und Profis. Die Kursinhalte sind vielseitig und umfassen Fitness- und Kraftübungen, Förderung von Flexibilität und Mobilisation bis hin zu vollständigen Choreografien verschiedener Tanzstilarten.Auf einer Gesamtfläche von über 250 qm und zwei Tanzsälen bietet das Studio in Braunschweig viel Raum für sportliche Fitness und Tanz. Das Pole-Loft ist ausgestattet mit 12 professionellen Pole- Stangen und auf einer Fläche von über 100 qm voll verspiegelt. Für eine angenehme Atmosphäre zum Trainieren und Tanzen sorgen eine professionelle Musikanlage und Lichttechnik. Damit ihr immer weich landet stehen ausreichend Fallmatten zur Verfügung.Der zweite Tanzsaal, wir nennen ihn liebevoll Air Loft, finden außer Pole-Trainings auch unsere Luftakrobatik-Kurse Aerial Hoop und Aerial Yoga statt. Dank des einzigartigem Pole-Away-System lassen sich die 6 Poles im Air Loft an die Decke klappen und bieten somit eine Freifläche zum Tanzen von über 100 qm. Im Air Loft befinden sich weiterhin 7 Aerial Hoops, 7 Aerial Yoga Tücher, sowie zahlreiche Fallmatten.Im Pole Loft, sowie im Air Loft haben wir eine Deckenhöhe von 3,40 m. Das garantiert ein anspruchsvolles Trainingskonzept und dient zur professionellen Vorbereitung für Polesport-Meisterschaften.Eine großzüge Umkleidekabine, ein gut ausgestatteter Empfangsbereich und zwei Bäder/WC gehören zu unserem Standards.Rund um das Gebäude stehen Parkplätze für unsere Mitglieder zur Verfügung. Eine S-Bahn-Anbindung liegt ca. 5 Gehminuten vom Studio entfernt (Haltestelle Petzvalstraße). Der Hauptbahnhof ist mit 5,5 km unweit entfernt. Zur Innenstadt gelangt man in wenigen Autominuten, Entfernung 4,4 km.", ttanzstueck@gmail.com,http://www.t-tanzstueck.de,+491781697900,https://www.eversports.de/s/t-tanzstueck-braunschweig,"['Poledance', 'Aerial Yoga', 'Fitness', 'Aerial Yoga', 'Flexibles Training', 'Akrobatik', 'Aerial Dance', 'Aerial Hoop', 'Aerial Hoop', '37 Rezensionen', 'Fitness', 'Poledance', 'Aerial Yoga', 'Personal Training', 'Flexibles Training', 'Events', 'Akrobatik', 'Acroyoga', 'Faszientraining', 'Raumvermietung', 'Power Pole', 'Floorwork', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik', 'Polesport', 'twerXout®']",4 Angebote für Neukund:innen,2024-02-17 18:25:07,2024-02-17 18:25:07
Glow Sports Club,"['Industriepark 201 ', ' 78244 Gottmadingen']",78244,Gottmadingen,Industriepark 201,"['Übersicht', 'Klassen', 'Trainings', 'Kurse', 'Preise', 'Team']","In unserem Glow Sports Club sind alle herzlich Willkommen ganz nach unserem Motto - FOR EVERYBODY & EVERY BODY!In unserem hellen und modernen Studio stehen dir drei Kursräume mit 144m² Fläche zur Verfügung. Du wirst von einem top ausgebildeten und motivierten Team empfangen.Unsere Deckenhöhe beträgt 3.60m, perfekte Bedingungen für Aerial Sports. Durch unsere großzügig verspiegelten Wände könnt ihr euch während dem Training selbst gut beobachten. Der Unterricht findet in kleinen Gruppen statt, so können wir dir immer eine familiäre Atmosphäre bieten.It’s not only a Club – It’s a feeling", info@glowsportsclub.de,http://www.glowsportsclub.de,+49 171 6444114,https://www.eversports.de/s/glow-sports-club,"['Tanzen', 'Pilates', 'Poledance', 'Polesport', 'Aerial Akrobatik', 'Poledance', 'Pilates', 'Poledance', 'Yoga', 'Hatha Yoga', '15 Rezensionen', 'Fitness', 'Pilates', 'Tanzen', 'Yoga', 'Poledance', 'Aerial Yoga', 'Rückenfit', 'Funktionelles Training', 'Barre-Training', 'Faszientraining', 'Stretching', 'Lapdance', 'Chairdance', 'Aerial Silk', 'Aerial Hoop', 'Aerial Akrobatik', 'Hatha Yoga', 'Polesport', 'Bauch, Beine, Po', 'Jumping Fitness', 'Mobility', 'Bodyfit', 'Seminar', 'Vorträge', 'Tanz-Fitness', 'Twerken', 'Dehnbarkeit und Beweglichkeit', 'Exotic', 'Gesundheitstraining', 'Vinyasa Flow', 'Gesundheitssport', 'Workshop']",1 Angebot für Neukund:innen,2024-02-17 18:25:16,2024-02-17 18:25:16
IMA Intentional Movement Academy,"['Prenzlauer Promenade 189 ', ' 13189 Berlin']",13189,Berlin,Prenzlauer Promenade 189,"['Übersicht', 'Klassen', 'Retreats', 'Videos', 'Preise', 'Team']",Aktuell mieten wir Räume im First Floor Studio in Prenzlauer Berg und bieten dort mehrere Live Klassen pro Woche an. Außerdem kannst du Online Kurse bei uns buchen., hello@ima-studio.de,https://ima-studio.de,+49 157 83440382,https://www.eversports.de/s/ima-intentional-movement-academy,"['Akrobatik', 'Handstand', 'Aerial Yoga', 'Stretching', 'Stretching', 'Akrobatik', 'Akrobatik', 'Handstand', 'Aerial Yoga', 'Events', '14 Rezensionen', 'Aerial Yoga', 'Personal Training', 'Events', 'Akrobatik', 'Stretching', 'Handstand', 'Aerial Hoop', 'Aerial Akrobatik', 'Dehnung/Flexibilität', 'Artistik', 'Luftartistik', 'Stärkung/Flexibilität', 'Aerial Hammock', 'Kontorsion']",4 Angebote für Neukund:innen,2024-02-17 18:25:22,2024-02-17 18:25:22
Freaky-Fitness,"['Danziger Straße 3 ', ' 88250 Weingarten']",88250,Weingarten,Danziger Straße 3,['Übersicht'],"Freaky-Fitness ist ein Kursstudio in Weingarten (Ravensburg). Der Schwerpunkt der Studios liegt auf dem Polesport, welcher sowohl für Anfänger als auch für Fortgeschrittene und Profis angeboten wird. Mittlerweile beinhaltet das Kursprogramm auch viele ergänzende Kurse rund um das Thema Poledance und Pole Sport, wie Power Pole, Pole Splits, Heels Dance, Splits uvm.                 Weiterhin wird auch eine Körperzusammensetzungsanalyse vom weltweiten Marktführer Inbody angeboten um dadurch das Training spezieller und zielführender zu planen.Bei uns gibt es kein wetteifern, es wird als Team trainiert und jeder freut sich über die Erfolge des Stangennachbarn. Dies schafft ein unglaublich angenehmes Trainingsklima, in welchem jeder auf seinem Level arbeiten kann. Wir teilen unser Wissen extrem gerne und sehen es als unsere Aufgabe an, Dich in deiner Entwicklung zu fördern.", info@freaky-fitness.de,https://freaky-fitness.de/,+49 15126920078,https://www.eversports.de/s/freaky-fitness,"['44 Rezensionen', 'Akrobatik', 'Aerial Hoop', 'Aerial Dance', 'Aerial Silk', 'Boxen', 'Massage', 'Fitness', 'Poledance', 'Online Klasse', 'Stretching']",2 Angebote für Neukund:innen,2024-02-17 18:25:25,2024-02-17 18:25:25
