Workshop Name,Description,Studio Name,Location,Art,Date,URL_E,Time
ONLINE Heels Flow | Pole Workshop,"Tauche ein in die sinnliche Welt des Pole Dance mit unserem exklusiven ""Heels Flow"" Workshop! Dieser Workshop richtet sich an alle Levels, von Anfänger*innen bis Fortgeschrittene, die ihre Pole Dance Fähigkeiten verbessern und eine Prise Eleganz hinzufügen möchten. Wir konzentrieren uns auf fließende Übergänge, Drehungen und Bodenarbeit und verbinden diese zu einer schönen Choreografie.",Les.Pole,Online,Poledance,"Samstag, 24. Februar 2024",https://www.eversports.de/e/workshop/ph8TlfO,12:00 - 13:30
ONLINE Perfect Pictures  | Pole Workshop,"Bei dir steht ein Fotoshooting an, aber dir fehlen noch Ideen für Posen oder du willst deine Lieblingspose perfektionieren und dein Allignment verbessern? Dann bist du bei diesem Workshop genau richtig. Hier lernst du hübsche Fotoposen auf verschiedenen Leveln und bekommst Tipps für deine persönliche Shooting-Vorbereitung.Fragen wie ""Wohin mit meinen Armen?"", ""Wohin gucke ich am besten?"" ""Was ziehe ich an?"" und ""Was wird häufig vergessen?"" BONUS: Kursteilnehmer erhalten nach dem Workshop ein SHOOTING-WARM-UP VIDEO und eine PACKLISTE welche sie für ihr nächstes Shooting ganz einfach herunterladen und nutzen können. Du benötigst:",Les.Pole,Online,Poledance,"Freitag, 26. April 2024",https://www.eversports.de/e/workshop/4lKTG4R,19:00 - 20:30
KASSEL+ONLINE Chairdance Perfect Pictures Workshop,"Bei dir steht ein Fotoshooting an, aber dir fehlen noch Ideen für Posen oder du willst deine Lieblingspose perfektionieren und dein Allignment verbessern? Dann bist du bei diesem Workshop genau richtig. Hier lernst du hübsche Fotoposen auf verschiedenen Leveln und bekommst Tipps für deine persönliche Shooting-Vorbereitung.Fragen wie ""Wohin mit meinen Armen?"", ""Wohin gucke ich am besten?"" ""Was ziehe ich an?"" und ""Was wird häufig vergessen?"" BONUS: Kursteilnehmer erhalten nach dem Workshop ein SHOOTING-WARM-UP VIDEO und eine PACKLISTE welche sie für ihr nächstes Shooting ganz einfach herunterladen und nutzen können.",Les.Pole,Online,Poledance,"Samstag, 4. Mai 2024",https://www.eversports.de/e/workshop/lByHwWr,12:00 - 13:30
BREMEN Pole X Heels,"Musik an, jetzt wird getanzt!... Leg Swirls, Bodywaves und Headshakes warten auf dich! In diesem Workshop lernst du eine elegante und ausdrucksstarke Choreografie an der Pole. Du kannst dabei in High Heels (Bitte nur mit Plateau) und Socken tanzen.Knieschoner werden empfohlen.  Die Anmeldung für den Workshop ist verbindlich!",Les.Pole,Einzelticket,Poledance,"Samstag, 18. Mai 2024",https://www.eversports.de/e/workshop/VC_twiJ,15:00 - 16:30
BREMEN Handbalance Essentials Pole Edition,"Wir lernen gemeinsam die Grundlagen zu den Themen Ausrichtung, Balance und Beweglichkeit um stabil auf deinen Händen zu stehen. Ziel ist es dir Bausteine mitzugeben, die dir bei deiner körperlichen Praxis helfen einfachere Handbalancen, wie die Krähe, zu erlernen. Dieser Workshop wird die Pole als Hilfsgerät einbeziehen und dir die richtige Technik für Pole-Handstands zeigen.",Les.Pole,Einzelticket,Akrobatik,"Samstag, 18. Mai 2024",https://www.eversports.de/e/workshop/L-VuR9j,16:45 - 18:15
Dancehall Workshop,"Dieser Workshop ist für alle Jugendlichen (ab 15 J.) und Erwachsenen, die sich für diese coole tanzart interessieren. Ab August wird es einen festen Kurs geben. Wer möchte, kann sich nach dem Workshop gerne vormerken lassen. Dancehall ist eine auf Reggae aufbauende Musikrichtung, die Ähnlichkeiten mit Hip-Hop hat. Großen Einfluss auf die jamaikanische Dancehall-Entwicklung hatte das sogenannte Toasten, eine Art des Sprechgesangs, die durch Künstler wie U-Roy bekannt wurde.",Ramonas Tanzschmiede,Einzelticket,Dancehall,"Sonntag, 25. Februar 2024",https://www.eversports.de/e/workshop/h6T780l,18:00 - 19:30
Kids Contemporary Workshop,"Dieser Workshop richtet sich an Kinder vom 4.-7. Schuljahr. Hier kann diese besondere Tanzart ausprobiert werden. Bitte bequeme Sportkleidung, Socken und ein Getränk mitbringen. Contemporary hat sich hauptsächlich aus klassischem, modernem und Jazz-Tanz entwickelt. Da die Tanzrichtung beliebt bei professionellen Tänzern wurde, flossen im Laufe der Zeit auch Elemente aus Ballett und ähnlichen Tänzen ein. Sogar Elemente aus afrikanischen und asiatischen Tänzen werden eingebaut. Wer Gefallen an Contemporary gefunden hat, kann sich für den festen Kurs ab August vormerken lassen.",Ramonas Tanzschmiede,Einzelticket,Contemporary Dance,"Samstag, 9. März 2024",https://www.eversports.de/e/workshop/HZmJGaW,16:00 - 17:30
Einsteiger-Workshop,"Nach einem gemütlichen Kennenlernen beginnen wir mit dem Warm-up, gefolgt von einem kleinen Kraft- und Technikteil. Im Anschluss lernst du anhand einer Choreographie deine ersten tänzerischen Grundelemente. Das Ergebnis wird sich garantiert sehen lassen! Nach einem Cool-down hast du die Möglichkeit, dich über unsere Kurse zu informieren und alle Fragen beantwortet zu bekommen, die dir unter den Nägeln brennen :-)",Star Poledance,Einsteiger-Workshop,Poledance,"Sonntag, 3. März 2024",https://www.eversports.de/e/workshop/IVfDf6M,10:30 - 12:30
Aerial Circus Kids/Teens Kennenlern Workshop,"Jetzt sind die KLEINEN dran!Luftakrobatik ist nicht nur etwas für die Großen. Nun können auch Kinder im Alter von 8-15 Jahren die Luftakrobatik-Sportarten kennenlernen. Die Kids können sich im Aerial Hoop (Luftring) und an den Tüchern (Hammock) und an der Pole austoben.Es werden Klettertechniken und sichere Aufschwünge geschult. Ebenso gehören akrobatische Tricks und Übergänge, sowie ein angemessenes Warm up zum Trainingsprogramm.Unsere speziell ausgebildeten Trainerinnen verfügen über ein hohes Maß an Einfühlungsvermögen und Verantwortungsbewusstsein.",T-Tanzstück Braunschweig,Gesamtticket,Aerial Akrobatik,"Freitag, 1. März 2024",https://www.eversports.de/e/workshop/itCOcd3,15:30 - 17:00
WORKSHOP- Improve Your Invert Skills,"Der Invert ist eine der wichtigsten Grundlagen im Pole und ist die Basis für viele weitere Tricks. Neben einem hohen Maß an Kraft erfordert er auch eine gute Koordination & Körpergefühl. Dir fällt der Invert schwer? Irgendwie kommst du hoch, aber schön sieht das nicht aus und es fühlt sich nicht sicher an? Oder du möchtest generell deine Inverts auf ein neues Level bringen, ihnen mehr Leichtigkeit & Eleganz verleihen? In diesem Workshop beschäftigen wir uns mit 3 Schritten, um herauszufinden, welcher deine Pole Inverts schwer und messy aussehen lässt und wie du sie stark und sauber machst. Ich zeige dir die richtige Technik, Übungen und die häufigsten Fehler.",Body meets Soul Leipzig,"Gabelsbergerstraße 1a, 04317 Leipzig",Polesport,"Samstag, 24. Februar 2024",https://www.eversports.de/e/workshop/uO9N1VQ,12:45 - 14:15
