Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Workshop mit @bou_boulette (Janine Hollung),März02bis März 02,"ab 65,00 €",2 Einheiten,POLEside,"Weststraße 1, 74193 Schwaigern",https://www.eversports.de/e/workshop/llCPKoMLh
Pole meets Burlesque Workshop,Feb09Freitag,"ab 30,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/VYi81mK
Pole Nick - Down to Earth,Feb24Samstag,"ab 60,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/101RSFR
Pole Nick - Balance Baby,Feb24Samstag,"ab 60,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/AnumKko
Pole Nick - Alltime Favourites,Feb24Samstag,"ab 60,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/aqDwRxt
Strip Plastic mit BendyGio,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/xpUUbAx
Spinning Flexy Illusions mit BendyGio,März22Freitag,"ab 69,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/yXAMy8l
Dan Rosen - Dynamic Heels,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/mI91ydw
Dan Rosen - Heels Flow,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/Ngcpd4l
Dan Rosen - Dan's Favourite Combo's,Apr28Sonntag,"ab 65,00 €",1 Einheit,Pole and Move Heidelberg,"Hauptstraße 58, 69214 Eppelheim",https://www.eversports.de/e/workshop/ij8VZCH
