Workshop Name,Description,Studio Name,Location,Level,Date,URL_E,Time
Workshop mit @bou_boulette (Janine Hollung),"Am Samstag den 02.03.2024 dürfen wir Janine alias @bou_boulette erneut bei uns als Gast willkomenn heißen. Sie wird an diesem Tag zwei Workshops anbieten, beide zum Thema:MY FAVORITE TRICKS AND COMBOS ON STATIC In diesem Workshop liegt der Fokus auf meinen liebsten aktuellen Tricks, aber auch auf meinen 'Klassikern'. Was macht mehr Spaß als diese endlos mit Spins, Climbs, Drops oder dynamic Movements zu kombinieren, ohne dabei den Boden zu berühren? 14:00 bis 15:30 Uhr --> Beginner 16:00 bis 17:30 Uhr --> Fortgeschrittene Preise: 1 Kurs: 65€ 2 Kurse: 120€ Stornierungen sind online über Eversports bis zu 1 Woche vor Workshopbeginn möglich.",POLEside,"Ticket für Sa. 02.03.2024, 16:00 - 17:30",Poledance,"Beginnt am Samstag, 2. März 2024",https://www.eversports.de/e/workshop/llCPKoMLh,"Weststraße 1, 74193 Schwaigern"
Pole meets Burlesque Workshop,"Diamonds are girls best friend In diesem Workshop werden Burlesque typische Elemente wie der Shimmy in eine verspielte und ausdrucksvolle Pole Choreo integriert. Du brauchst für diesen Workshop kurze Hosen und ein Hemd. Die Choreografie kann mit, aber auch ohne Heels getanzt werden. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6€.",Pole and Move Heidelberg,Einzelticket,Poledance,"Freitag, 9. Februar 2024",https://www.eversports.de/e/workshop/VYi81mK,19:00 - 20:10
Pole Nick - Down to Earth,"In diesem Workshop wirst du großartige Moves und Kombinationen verschiedener Bodenelemente erlernen. Nick wird dir außerdem Figuren zeigen, welche sich perfekt dafür eignen eine Choreo am Boden zu beenden. Außerdem wird er dir seine Tricks verraten, um deinen Handstand zu verbessern. In diesem Workshop teilen sich 2 Teilnehmer je eine Stange. An diesem Workshop kannst du schon ab dem Beginner Level teilnehmen.",Pole and Move Heidelberg,"Ticket für Sa. 24.02.2024, 12:00 - 13:30",Polesport,"Samstag, 24. Februar 2024",https://www.eversports.de/e/workshop/101RSFR,12:00 - 13:30
Pole Nick - Balance Baby,"In diesem Workshop dreht sich alles um den Handstand. Du wolltest schon immer einen Handstand lernen oder deinen Handstand verbessern? Dann kommt dieser Workshop wie gerufen für dich! Nick wird dir seine besten Tipps und Tricks verraten, wie dein Handstand stabiler denn je wird. Für diesen Workshop brauchst du keinerlei Vorerfahrung im Poledance. Es wird nicht an der Pole trainiert.",Pole and Move Heidelberg,"Ticket für Sa. 24.02.2024, 14:00 - 15:30",Polesport,"Samstag, 24. Februar 2024",https://www.eversports.de/e/workshop/AnumKko,14:00 - 15:30
Pole Nick - Alltime Favourites,"In diesem Workshop präsentiert dir Nick seine „Alltime Favourites“. Er wird dir die verschiedenen Figuren und Kombinationen beibringen und dir seine Tipps verraten, wie die Figuren noch besser aussehen. Also lass dir nicht die Chance entgehen, die Klassiker dieses einzigartigen Künstlers zu lernen und seine Geheimtricks zu erfahren. In diesem Workshop teilen sich 2 Teilnehmer je eine Stange. Für diesen Workshop solltest du bereits Vorerfahrung haben und mindestens im Intermediate Level trainieren.",Pole and Move Heidelberg,"Ticket für Sa. 24.02.2024, 16:45 - 18:15",Polesport,"Samstag, 24. Februar 2024",https://www.eversports.de/e/workshop/aqDwRxt,16:45 - 18:15
Strip Plastic mit BendyGio,"Achtung!!! In diesem Workshop wird es heiß! BendyGio wird dir eine sexy Choreographie beibringen, dir Floorwork und tolle Figuren an der Pole kombiniert. Der Fokus liegt in diesem Workshop außerdem darauf, die eigenen Gefühle anhand von sinnlichen Bewegungen auszudrücken und mit der innerlichen Stärke zu verbinden. BendyGio wird dir zudem einige coole akrobatische Bewegungen beibringen, die im Flow integriert sind. Die Tricks wird sie dir Stück für Stück erklären, sodass du die richtige Technik lernst. Dieser Workshop ist für alle Level geeignet.",Pole and Move Heidelberg,"Ticket für Fr. 22.03.2024, 17:00 - 18:30",Poledance,"Freitag, 22. März 2024",https://www.eversports.de/e/workshop/xpUUbAx,17:00 - 18:30
Spinning Flexy Illusions mit BendyGio,"Du wolltest schon immer mal coole flexy Tricks an der Pole machen, fühlst dich aber nicht flexibel genug? Dann ist dies der perfekte Workshop für dich! In diesem Workshop wird dir BendyGio die tollsten Shapes und kleine Combos an der Spinning Pole beibringen. Der Hauptfokus liegt darauf, sich auf die Bewegungen zu konzentrieren, die scheinbar viel Flexibilität erfordern, aber eigentlich gar nicht so schwer auszuführen sind. BendyGio verrät die außerdem ihre besten Tipps und Tricks, damit du so flexibel wie möglich aussiehst.  Die verschiedenen Shapes und Combos werden in diesem Workshop Schritt für Schritt unterrichtet, sodass am Ende alle den Dreh raus haben. Für diesen Workshop solltest du sicher im Invert und Leghang sein.",Pole and Move Heidelberg,"Ticket für Fr. 22.03.2024, 18:45 - 20:15",Poledance,"Freitag, 22. März 2024",https://www.eversports.de/e/workshop/yXAMy8l,18:45 - 20:15
Dan Rosen - Dynamic Heels,"In diesem Workshop wird dir Polestar Dan Rosen eine seiner charakteristischen Exotik Pole Choreo’s zeigen und beibringen. Außerdem wird er dir seine Geheimtipps verraten, wie deine Choreo noch dynamischer wird. Das brauchst du für diesen Kurs: Heels, eine Flasche Wasser, ein Handtuch, Knieschoner In diesem Workshop teilen sich jeweils 2 Teilnehmer eine Pole.",Pole and Move Heidelberg,"Ticket für So. 28.04.2024, 11:00 - 12:30",Polesport,"Sonntag, 28. April 2024",https://www.eversports.de/e/workshop/mI91ydw,11:00 - 12:30
Dan Rosen - Heels Flow,"Du liebst Exotik Pole und lässt auch gerne mal deine sexy Seite raus? Dann ist dieser Workshop wie für dich geschaffen! Dan wird dir in diesem Workshop eine seiner charakteristischen Choreo’s zeigen und beibringen. Außerdem gibt er dir hilfreiche Tipps, wie deine Choreo noch schöner wird. Das brauchst du für diesen Kurs: Heels, eine Flasche Wasser, ein Handtuch, Knieschoner In diesem Workshop teilen sich jeweils 2 Teilnehmer eine Pole.",Pole and Move Heidelberg,"Ticket für So. 28.04.2024, 13:00 - 14:30",Polesport,"Sonntag, 28. April 2024",https://www.eversports.de/e/workshop/Ngcpd4l,13:00 - 14:30
Dan Rosen - Dan's Favourite Combo's,"In diesem Workshop präsentiert Dir Dan seine einzigartigen und originellen Lieblings Poledance Variationen und Kombinationen. Ihr werdet mit den speziellen Kombis auch gemeinsam neue Pole Figuren erarbeiten, die aus unterschiedlichen Schwierigkeitsgraden bestehen.  Erlebe mit Dan einen unvergesslichen Workshop mit viel Witz und Charme. Dieser Kurs ist für Fortgeschritten Teilnehmer sollten idealerweise Aerial Inverts, Shoulder Mount, Superman und den Extended Butterfly schon können. In diesem Kurs teilen sich jeweils 2 Teilnehmer eine Pole.",Pole and Move Heidelberg,"Ticket für So. 28.04.2024, 15:00 - 16:30",Polesport,"Sonntag, 28. April 2024",https://www.eversports.de/e/workshop/ij8VZCH,15:00 - 16:30
